Name,Artist,Date (dd-mm-yyyy),Time,Venue,Latitude,Longitude,Genre,Energy (Scale of 1 to 10),Price,TAGS,Link
Desempolvando el hacha ,Duo Kie,24-11-2023,21:00,Mon Live,40.4165,-3.7026,Hip Hop,7,19.00,,https://entradas.ticketrona.com/events/duo-kie-desempolvando-el-hacha-tour?_ga=2.110742466.692581171.1700584562-2025820905.1700584562&_gl=1*1loxga5*_ga*MjAyNTgyMDkwNS4xNzAwNTg0NTYy*_ga_YYXWYW6YNK*MTcwMDU4NDU2MS4xLjAuMTcwMDU4NDU2MS4wLjAuMA..*_ga_4700TNLLXL*MTcwMDU4NDU2MS4xLjAuMTcwMDU4NDU2MS4wLjAuMA..
No Se,Zeta Zen,26-11-2023,21:00,La Riviera,40.4132995,-3.7219612,Hip Hop,6,30.00,,https://www.zetazen.es/
El DON ,Acru,30-11-2023,21:30,Copernico,40.4352712,-3.7136635,Hip Hop,8,25.00,,https://www.seetickets.com/es/event/acru-en-madrid/sala-copernico/2748587?aff=aw&sv1=affiliate&sv_campaign_id=728913&awc=19223_1700585134_5ce44e5daf12c5938095923d990d123e&utm_source=awin&utm_medium=affiliation&utm_campaign=https%3A%2F%2Fconciertos.club
La Victoria Imposible ,Rayden ,2-12-2023,21:00,Wizink,40.4239306,-3.6742277,Hip Hop,7,30.00,,https://www.seetickets.com/es/event/rayden-en-madrid-la-victoria-imposible/wizink-center/2513115?aff=aw&sv1=affiliate&sv_campaign_id=728913&awc=19223_1700585432_e672ec06c3ba3ec1b5421dcd6583946a&utm_source=awin&utm_medium=affiliation&utm_campaign=https%3A%2F%2Fconciertos.club
Inverfest,FernandoCosta,28-12-2023,21:00,La Riviera,40.4132995,-3.7219612,Hip Hop,8,44.00,,https://www.songkick.com/es/concerts/41503950-fernandocosta-at-la-riviera
El vuelo,Nikone,13-1-2024,22:30,La Paqui,40.4269645,-3.6995815,Hip Hop,9,50.00,,https://www.wegow.com/es/compra/nikone-en-concierto-en-madrid#a_aid=conciertosclub
Casanova ,Recycled J,13-1-2024,21:30,Palacio Vistalegre,40.3862799,-3.7377179,Hip Hop,7,45.00,,https://www.ticketmaster.es/event/34729?brand=es_conciertosclub&camefrom=GLSConciertosClub&did&language=es-es&subchannel_id=105&track=DiscoveryAPI
25 años tour,Luis Fonsi,16-02-2024,21:00,Wizink,40.4239306,-3.6742277,Reggaeton,8,50.00,,https://conciertos.club/madrid/conciertos/51366-luis-fonsi
Tristes ,Nicki Nicole,21-03-2024,21:00,Wizink,40.4239306,-3.6742277,Trap,7,33.00,,https://conciertos.club/madrid/conciertos/57302-nicki-nicole
Duki Madrid,Duki,08-06-2024,21:00,Santiago Bernabeu,40.4523667,-3.6907254,Trap,9,31.00,,https://conciertos.club/madrid/conciertos/47374-duki
El estudio,Kaze,21-4-2024,21:00,La riviera,40.4132995,-3.7219612,Hip Hop,7,25.00,,https://www.entradasatualcance.com/tickets-kaze-en-madrid#/sell/events/10435/sessions/16017
Marc Segui,Marc Segui,20-04-2024,21:00,La riviera,40.4132995,-3.7219612,Urbana,7,20.00,,https://conciertos.club/madrid/conciertos/43444-aaaaaa-tour-marc-segui
Hood PRez,Kady Cain,21-04-2023,21:00,Wizink,40.4239306,-3.6742277,Urbana,8,25.00,,https://conciertos.club/madrid/conciertos/44016-kaydy-cain
Enol,Enol,14-04-2024,21:30,La riviera,40.4239306,-3.6742277,Urbana,6,25.00,,https://conciertos.club/madrid/conciertos/55030-enol
Jason Derulo Madrid,Jason Derulo,07-12-2023,21:00,Wizink,40.4239306,-3.6742277,Urbana,8,48.00,,https://conciertos.club/madrid/conciertos/57327-jason-derulo
Ters,Ters,16-02-2024,22:00,La riviera,40.4239306,-3.6742277,Urbana,6,18.00,,https://conciertos.club/madrid/conciertos/52325-ters
Hoy se lia a base de bien ,Wau y los Arrrghs,09-12-2023,21:00,Teatro Eslava,40.41725352,-3.706609019,Rock,9,25.00,,https://conciertos.club/madrid/conciertos/50105-wau-y-los-arrrghs
El Barrio-Madrid,El Barrio,22-11-2023,21:00,Wizink,40.4239306,-3.6742277,Flamenco,8,96.00,,https://www.stubhub.ie/el-barrio-tickets/performer/100030448/
Arcángel- Flamenco,Arcángel,25-11-2023,21:00,Ac Hotel Recoletos,40.42026624,-3.691702367,Flamenco,6,35.00,,https://mutick.com/e/recoletos-jazz-madrid-arcangel-24n
The Mad Addiction,The Mad Addiction,1-12-2023,22:00,Honky Tonk Bar,40.4302737,-3.697678422,Rock,9,6.00,,https://entradas.tickety.es/en/events/the-mad-addiction/sessions/01-12-2023-22-00-honky-tonk
Calamari Rolls-Royce,Johnny Rock,24-11-0203,23:00,Club Malasaña,40.42576712,-3.703176477,Rock,8.5,20.00,,https://dice.fm/event/6ab9q-mlir-presents-calamari-rolls-royce-ft-jonny-rock-24th-nov-club-malasaa-madrid-tickets
